fecha,siglas,votos_totales
2008-03-01,PSOE,10646064
2008-03-01,PP,10171828
2008-03-01,OTROS,3388576
2008-03-01,PNV,303264
2008-03-01,ERC,289641
2011-11-01,PP,10838951
2011-11-01,PSOE,6721343
2011-11-01,OTROS,5505598
2011-11-01,PNV,323591
2011-11-01,ERC,244300
2015-12-01,PP,7114123
2015-12-01,PSOE,5368954
2015-12-01,UP,4780386
2015-12-01,CS,3513083
2015-12-01,OTROS,2942173
2016-06-01,PP,7800328
2016-06-01,PSOE,5260522
2016-06-01,UP,4589387
2016-06-01,CS,3133197
2016-06-01,OTROS,2453992
2019-04-01,PSOE,7092503
2019-04-01,PP,4356714
2019-04-01,CS,4137864
2019-04-01,UP,3731613
2019-04-01,VOX,2676822
2019-11-01,PSOE,6526364
2019-11-01,PP,5021622
2019-11-01,VOX,3640377
2019-11-01,UP,3097179
2019-11-01,OTROS,2295699
